sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinidae_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,input,filtered,denoisedF,denoisedR,merged,nonchim,length_filter
001_GEM_11_Chlamax_24m,0.0,0.0,0.0,0.0,1.0,10.0,3.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,24.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,11.0,34.03382833,-120.9436683,339470,270911,280974,280673,199606,199218,110197
001_GEM_11_Chlamax_24m-1,0.0,0.0,0.0,0.0,1.0,10.0,1.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,24.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,11.0,34.03382833,-120.9436683,118101,73371,81054,80958,38189,37614,7649
001_GEM_11_Chlamax_24m-2,0.0,0.0,0.0,0.0,1.0,10.0,2.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,24.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,11.0,34.03382833,-120.9436683,487130,425900,470762,470770,462809,461969,362057
001_GEM_14_10m,0.0,0.0,0.0,0.0,1.0,5.0,3.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,10.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,14.0,34.03382833,-120.9436683,186271,172763,195154,195313,175307,175302,71268
001_GEM_14_10m-1,0.0,0.0,0.0,0.0,1.0,5.0,1.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,10.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,14.0,34.03382833,-120.9436683,380432,343580,348312,348254,168008,167990,93255
001_GEM_14_10m-2,0.0,0.0,0.0,0.0,1.0,5.0,2.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,10.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,14.0,34.03382833,-120.9436683,733559,207173,266186,266016,254029,253909,8005
001_GEM_2_515m,0.0,0.0,0.0,0.0,1.0,14.0,3.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,515.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,2.0,34.03382833,-120.9436683,223624,198026,201883,200967,119218,117693,56854
001_GEM_2_515m-1,0.0,0.0,0.0,0.0,1.0,14.0,1.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,515.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,2.0,34.03382833,-120.9436683,915345,831027,868765,868700,738126,717860,354390
001_GEM_2_515m-2,0.0,0.0,0.0,0.0,1.0,14.0,2.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,515.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,2.0,34.03382833,-120.9436683,839556,765987,785262,785356,618627,603320,248915
001_GEM_4_170m,0.0,0.0,0.0,0.0,1.0,9.0,3.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,170.0,1000.0,800 - 1000,80.7 59.9,2210RL_001,1.0,4.0,34.03382833,-120.9436683,429187,380559,415814,415160,320181,303625,181051
