sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
015_GEM_7_10m,0,0,0,0,1,174,1,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,68.1 55.9,2210RL_015,15,7,36.34642,-121.6896133,,
015_GEM_7_10m-2,0,0,0,0,1,174,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,68.1 55.9,2210RL_015,15,7,36.34642,-121.6896133,,
015_GEM_7_10m-3,0,0,0,0,1,174,3,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,68.1 55.9,2210RL_015,15,7,36.34642,-121.6896133,,
015_Win_4_100m_01,1,0,1,309,1,175,1,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,68.1 55.9,2210RL_015,15,4,36.34642,-121.6896133,,
015_Win_4_100m_01-1,0,0,0,0,1,175,2,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,68.1 55.9,2210RL_015,15,4,36.34642,-121.6896133,,
015_Win_4_100m_01-2,0,0,0,0,1,175,3,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,68.1 55.9,2210RL_015,15,4,36.34642,-121.6896133,,
015_Win_4_100m_03,0,0,0,0,2,176,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,68.1 55.9,2210RL_015,15,4,36.34642,-121.6896133,,
015_Win_4_100m_03-2,0,0,0,0,2,176,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,68.1 55.9,2210RL_015,15,4,36.34642,-121.6896133,,
015_Win_4_100m_03-3,0,0,0,0,2,176,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,100,2000,1400 - 2000,68.1 55.9,2210RL_015,15,4,36.34642,-121.6896133,,
015_Win_6_Chlamax_20m_01,0,0,0,0,1,175,1,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,20,2000,1400 - 2000,68.1 55.9,2210RL_015,15,6,36.34642,-121.6896133,,
015_Win_6_Chlamax_20m_01-1,0,0,0,0,1,175,2,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,20,2000,1400 - 2000,68.1 55.9,2210RL_015,15,6,36.34642,-121.6896133,,
015_Win_6_Chlamax_20m_01-2,0,0,0,0,1,175,3,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,20,2000,1400 - 2000,68.1 55.9,2210RL_015,15,6,36.34642,-121.6896133,,
015_Win_8_10m_02,0,0,0,0,2,176,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,68.1 55.9,2210RL_015,15,8,36.34642,-121.6896133,,
015_Win_8_10m_02-2,0,0,0,0,2,176,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,68.1 55.9,2210RL_015,15,8,36.34642,-121.6896133,,
015_Win_8_10m_02-3,0,0,0,0,2,176,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,68.1 55.9,2210RL_015,15,8,36.34642,-121.6896133,,
015_Win_8_10m_03,0,0,0,0,3,177,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,68.1 55.9,2210RL_015,15,8,36.34642,-121.6896133,,
015_Win_8_10m_03-2,0,0,0,0,3,177,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,68.1 55.9,2210RL_015,15,8,36.34642,-121.6896133,,
015_Win_8_10m_03-3,0,0,0,0,3,177,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,68.1 55.9,2210RL_015,15,8,36.34642,-121.6896133,,
015_GEM_5_Chlamax_20m,0,0,0,0,1,179,1,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,20,1000,800 - 1000,68.1 55.9,2210RL_015,15,5,36.34642,-121.6896133,,
015_GEM_5_Chlamax_20m-2,0,0,0,0,1,179,2,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,20,1000,800 - 1000,68.1 55.9,2210RL_015,15,5,36.34642,-121.6896133,,
015_GEM_5_Chlamax_20m-3,1,1,1,139,1,179,3,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,20,1000,800 - 1000,68.1 55.9,2210RL_015,15,5,36.34642,-121.6896133,,
015_Win_6_Chlamax_20m_02,0,0,0,0,2,181,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,20,2000,1400 - 2000,68.1 55.9,2210RL_015,15,6,36.34642,-121.6896133,,
