sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
001_GEM_11_Chlamax_24m,0,0,0,0,1,10,3,202210,20221013,DL,1,GEMCAP,1,CTD,1,24,1000,800 - 1000,80.7 59.9,2210RL_001,1,11,34.03382833,-120.9436683,,
001_GEM_11_Chlamax_24m-1,0,0,0,0,1,10,1,202210,20221013,DL,1,GEMCAP,1,CTD,1,24,1000,800 - 1000,80.7 59.9,2210RL_001,1,11,34.03382833,-120.9436683,,
001_GEM_11_Chlamax_24m-2,0,0,0,0,1,10,2,202210,20221013,DL,1,GEMCAP,1,CTD,1,24,1000,800 - 1000,80.7 59.9,2210RL_001,1,11,34.03382833,-120.9436683,,
001_GEM_14_10m,0,0,0,0,1,5,3,202210,20221013,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,80.7 59.9,2210RL_001,1,14,34.03382833,-120.9436683,,
001_GEM_14_10m-1,0,0,0,0,1,5,1,202210,20221013,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,80.7 59.9,2210RL_001,1,14,34.03382833,-120.9436683,,
001_GEM_14_10m-2,0,0,0,0,1,5,2,202210,20221013,DL,1,GEMCAP,1,CTD,1,10,1000,800 - 1000,80.7 59.9,2210RL_001,1,14,34.03382833,-120.9436683,,
001_GEM_2_515m,0,0,0,0,1,14,3,202210,20221013,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,80.7 59.9,2210RL_001,1,2,34.03382833,-120.9436683,,
001_GEM_2_515m-1,0,0,0,0,1,14,1,202210,20221013,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,80.7 59.9,2210RL_001,1,2,34.03382833,-120.9436683,,
001_GEM_2_515m-2,0,0,0,0,1,14,2,202210,20221013,DL,1,GEMCAP,1,CTD,1,515,1000,800 - 1000,80.7 59.9,2210RL_001,1,2,34.03382833,-120.9436683,,
001_GEM_4_170m,0,0,0,0,1,9,3,202210,20221013,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,80.7 59.9,2210RL_001,1,4,34.03382833,-120.9436683,,
