sample-id,mm_detect,Bio-rep,unique_biorep,uniqiue_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Collection_method,Collection_method_numeric,Collection_device,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,depth_m_ZG,bottle,volume_L_ZG,latitude,longitude,Ecological Notes,Processing Notes
001_GEM_11_Chlamax_24m,0,1,2210RL_00124GEMCAP1,10,3,BAE02,202210,20221013,GEMCAP,1,CTD,24,1000,800 - 1000,80.7 59.9,2210RL_001,1,24,11,1,34.03382833,-120.9436683,,
001_GEM_11_Chlamax_24m-1,0,1,2210RL_00124GEMCAP1,10,1,BAE01,202210,20221013,GEMCAP,1,CTD,24,1000,800 - 1000,80.7 59.9,2210RL_001,1,24,11,1,34.03382833,-120.9436683,,
001_GEM_11_Chlamax_24m-2,0,1,2210RL_00124GEMCAP1,10,2,BAE01,202210,20221013,GEMCAP,1,CTD,24,1000,800 - 1000,80.7 59.9,2210RL_001,1,24,11,1,34.03382833,-120.9436683,,
001_GEM_14_10m,0,1,2210RL_00110GEMCAP1,5,3,BAE02,202210,20221013,GEMCAP,1,CTD,10,1000,800 - 1000,80.7 59.9,2210RL_001,1,10,14,1,34.03382833,-120.9436683,,
001_GEM_14_10m-1,0,1,2210RL_00110GEMCAP1,5,1,BAE01,202210,20221013,GEMCAP,1,CTD,10,1000,800 - 1000,80.7 59.9,2210RL_001,1,10,14,1,34.03382833,-120.9436683,,
001_GEM_14_10m-2,0,1,2210RL_00110GEMCAP1,5,2,BAE01,202210,20221013,GEMCAP,1,CTD,10,1000,800 - 1000,80.7 59.9,2210RL_001,1,10,14,1,34.03382833,-120.9436683,,
001_GEM_2_515m,0,1,2210RL_001515GEMCAP1,14,3,BAE02,202210,20221013,GEMCAP,1,CTD,515,1000,800 - 1000,80.7 59.9,2210RL_001,1,515,2,1,34.03382833,-120.9436683,,
001_GEM_2_515m-1,0,1,2210RL_001515GEMCAP1,14,1,BAE01,202210,20221013,GEMCAP,1,CTD,515,1000,800 - 1000,80.7 59.9,2210RL_001,1,515,2,1,34.03382833,-120.9436683,,
001_GEM_2_515m-2,0,1,2210RL_001515GEMCAP1,14,2,BAE01,202210,20221013,GEMCAP,1,CTD,515,1000,800 - 1000,80.7 59.9,2210RL_001,1,515,2,1,34.03382833,-120.9436683,,
001_GEM_4_170m,0,1,2210RL_001170GEMCAP1,9,3,BAE02,202210,20221013,GEMCAP,1,CTD,170,1000,800 - 1000,80.7 59.9,2210RL_001,1,170,4,1,34.03382833,-120.9436683,,
001_GEM_4_170m-1,0,1,2210RL_001170GEMCAP1,9,1,BAE01,202210,20221013,GEMCAP,1,CTD,170,1000,800 - 1000,80.7 59.9,2210RL_001,1,170,4,1,34.03382833,-120.9436683,,
001_GEM_4_170m-2,0,1,2210RL_001170GEMCAP1,9,2,BAE01,202210,20221013,GEMCAP,1,CTD,170,1000,800 - 1000,80.7 59.9,2210RL_001,1,170,4,1,34.03382833,-120.9436683,,
001_GEM_6_100m,0,1,2210RL_001100GEMCAP1,1,3,BAE02,202210,20221013,GEMCAP,1,CTD,100,1000,800 - 1000,80.7 59.9,2210RL_001,1,100,6,1,34.03382833,-120.9436683,,
001_GEM_6_100m-1,0,1,2210RL_001100GEMCAP1,1,1,BAE01,202210,20221013,GEMCAP,1,CTD,100,1000,800 - 1000,80.7 59.9,2210RL_001,1,100,6,1,34.03382833,-120.9436683,,
001_GEM_6_100m-2,0,1,2210RL_001100GEMCAP1,1,2,BAE01,202210,20221013,GEMCAP,1,CTD,100,1000,800 - 1000,80.7 59.9,2210RL_001,1,100,6,1,34.03382833,-120.9436683,,
001_Win_12_Chlamax_01,1,1,2210RL_00124RREAS1,11,3,BAE02,202210,20221013,RREAS,2,CTD,24,2000,1400 - 2000,80.7 59.9,2210RL_001,1,24,12,2,34.03382833,-120.9436683,,
001_Win_12_Chlamax_01-1,0,1,2210RL_00124RREAS1,11,1,BAE01,202210,20221013,RREAS,2,CTD,24,2000,1400 - 2000,80.7 59.9,2210RL_001,1,24,12,2,34.03382833,-120.9436683,,
001_Win_12_Chlamax_01-2,0,1,2210RL_00124RREAS1,11,2,BAE01,202210,20221013,RREAS,2,CTD,24,2000,1400 - 2000,80.7 59.9,2210RL_001,1,24,12,2,34.03382833,-120.9436683,,
001_Win_12_Chlamax_02,0,2,2210RL_00124RREAS2,12,1,BAE01,202210,20221013,RREAS,2,CTD,24,2000,1400 - 2000,80.7 59.9,2210RL_001,1,24,12,2,34.03382833,-120.9436683,,
001_Win_12_Chlamax_02-2,0,2,2210RL_00124RREAS2,12,2,BAE02,202210,20221013,RREAS,2,CTD,24,2000,1400 - 2000,80.7 59.9,2210RL_001,1,24,12,2,34.03382833,-120.9436683,,
001_Win_12_Chlamax_02-3,0,2,2210RL_00124RREAS2,12,3,BAE02,202210,20221013,RREAS,2,CTD,24,2000,1400 - 2000,80.7 59.9,2210RL_001,1,24,12,2,34.03382833,-120.9436683,,
001_Win_12_Chlamax_03,0,3,2210RL_00124RREAS3,13,1,BAE01,202210,20221013,RREAS,2,CTD,24,2000,1400 - 2000,80.7 59.9,2210RL_001,1,24,12,2,34.03382833,-120.9436683,,
001_Win_12_Chlamax_03-2,0,3,2210RL_00124RREAS3,13,2,BAE02,202210,20221013,RREAS,2,CTD,24,2000,1400 - 2000,80.7 59.9,2210RL_001,1,24,12,2,34.03382833,-120.9436683,,
001_Win_12_Chlamax_03-3,0,3,2210RL_00124RREAS3,13,3,BAE02,202210,20221013,RREAS,2,CTD,24,2000,1400 - 2000,80.7 59.9,2210RL_001,1,24,12,2,34.03382833,-120.9436683,,
001_Win_15_10m_01,0,1,2210RL_00110RREAS1,6,1,BAE02,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,10,15,2,34.03382833,-120.9436683,,
001_Win_15_10m_01-1,0,1,2210RL_00110RREAS1,6,2,BAE01,202210,20221013,RREAS,2,CTD,10,2000,1400 - 2000,80.7 59.9,2210RL_001,1,10,15,2,34.03382833,-120.9436683,,
