Sample.ID,Lab,Lab.numeric,Read.counts,Route,samp.meth.num,samp.method,Transect,Volume_filt_mL,uniqiue_filter_numeric,uniqiue_biorep_numeric,TecRep.unique,Whale.PA,Delphinids.PA,Cetaceans.PA,Trans.numeric
F002-1,SIO,1,181008,93.4,1,underway,F002,11500,1,1,1,1,1,1,22
F002-2,SIO,1,194488,93.4,1,underway,F002,11500,1,1,2,0,1,1,22
F003-1,SIO,1,179551,93.4,2,carboy,F003,5000,2,2,3,0,0,0,22
F003-2,SIO,1,200875,93.4,2,carboy,F003,5000,2,2,4,0,0,0,22
F004-1,SIO,1,67422,91.7.1,1,underway,F004,4750,3,3,5,1,1,1,66
F004-2,SIO,1,109595,91.7.1,1,underway,F004,4750,3,3,6,1,0,1,66
F005-1,SIO,1,63520,91.7,1,underway,F005,5650,4,4,7,1,0,1,21
F005-2,SIO,1,96595,91.7,1,underway,F005,5650,4,4,8,0,0,0,21
F006-1,SIO,1,83653,91.7.2,1,underway,F006,6500,5,5,9,1,1,1,67
F006-2,SIO,1,122375,91.7.2,1,underway,F006,6500,5,5,10,1,1,1,67
F007-1,SIO,1,101558,93.3.1,1,underway,F007,3660,6,6,11,1,1,1,68
F007-2,SIO,1,104957,93.3.1,1,underway,F007,3660,6,6,12,1,1,1,68
F008-1,SIO,1,16402,93.3.2,1,underway,F008,5000,7,7,13,0,0,0,75
F008-2,SIO,1,31387,93.3.2,1,underway,F008,5000,7,7,14,0,0,0,75
F009-1,SIO,1,50668,93.3.3,1,underway,F009,17000,8,8,15,0,0,0,76
F009-2,SIO,1,66083,93.3.3,1,underway,F009,17000,8,8,16,0,0,0,76
F011-1,SIO,1,23879,93.3.4,1,underway,F011,16250,9,9,17,0,0,0,77
F011-2,SIO,1,23174,93.3.4,1,underway,F011,16250,9,9,18,0,0,0,77
F012-1,SIO,1,33004,93.3.5,1,underway,F012,15300,10,10,19,0,0,0,78
F012-2,SIO,1,47209,93.3.5,1,underway,F012,15300,10,10,20,0,0,0,78
F013-1,SIO,1,72399,93.3.6,1,underway,F013,4450,11,11,21,0,0,1,79
F013-2,SIO,1,116669,93.3.6,1,underway,F013,4450,11,11,22,0,0,1,79
F015-1,SIO,1,37651,93.3.7,1,underway,F015,6100,12,12,23,1,0,1,80
F015-2,SIO,1,49070,93.3.7,1,underway,F015,6100,12,12,24,1,0,1,80
F016-1,SIO,1,20782,93.3.8,1,underway,F016,2600,13,13,25,0,0,0,81
F016-2,SIO,1,21197,93.3.8,1,underway,F016,2600,13,13,26,0,0,0,81
